"ID","Type","Vulnerable","VulnWeight","VulnTot","Criminal","CrimWeight","CrimTot","Suspicious","SuspWeight","SuspTot","DetainState","IgnoreHistory","DetainHistory","TypeW"
1,2,0.24,0,0.24,0.465424720861097,0,0.465424720861097,0.651674463660692,0,0.651674463660692,"065",0,0,"Target"
2,1,0.13,0,0.13,0.640211221959079,0,0.640211221959079,0.478353267160076,0,0.478353267160076,"048",0,0,"Not Target"
3,2,0.68,0,0.68,0.534864948641174,0,0.534864948641174,0.451555176211313,0,0.451555176211313,"045",0,0,"Target"
4,1,0.99,0,0.99,0.390167549908559,0,0.390167549908559,0.545286795227134,0,0.545286795227134,"055",0,0,"Not Target"
5,2,0.61,0,0.61,0.596377926170731,0,0.596377926170731,0.560943335231645,0,0.560943335231645,"056",0,0,"Target"
6,1,0.45,0,0.45,0.321930522698029,0,0.321930522698029,0.476638711405678,0,0.476638711405678,"048",0,0,"Not Target"
7,1,0.08,0,0.08,0.449490080298261,0,0.449490080298261,0.430944701613635,0,0.430944701613635,"043",0,0,"Not Target"
8,2,0.07,0,0.07,0.386372887676792,0,0.386372887676792,0.515110710288866,0,0.515110710288866,"052",0,0,"Target"
9,1,0.77,0,0.77,0.5234868496165,0,0.5234868496165,0.344647924362514,0,0.344647924362514,"034",0,0,"Not Target"
10,1,0.99,0,0.99,0.395790856210272,0,0.395790856210272,0.396602940002319,0,0.396602940002319,"040",0,0,"Not Target"
11,1,0.22,0,0.22,0.440092569126746,0,0.440092569126746,0.46842071835612,0,0.46842071835612,"047",0,0,"Not Target"
12,1,0.4,0,0.4,0.373881187813994,0,0.373881187813994,0.468808940533247,0,0.468808940533247,"047",0,0,"Not Target"
13,1,0.89,0,0.89,0.79119335821081,0,0.79119335821081,0.455400087450481,0,0.455400087450481,"046",0,0,"Not Target"
14,1,0.15,0,0.15,0.452561738561193,0,0.452561738561193,0.513286393944398,0,0.513286393944398,"051",0,0,"Not Target"
15,1,0.48,0,0.48,0.525617329161443,0,0.525617329161443,0.48683038902999,0,0.48683038902999,"049",0,0,"Not Target"
16,2,0.6,0,0.6,0.529343484075529,0,0.529343484075529,0.514271685579917,0,0.514271685579917,"051",0,0,"Target"
17,1,0.82,0,0.82,0.62418157693978,0,0.62418157693978,0.504459018633357,0,0.504459018633357,"050",0,0,"Not Target"
18,1,0.36,0,0.36,0.478373156376119,0,0.478373156376119,0.483555988691752,0,0.483555988691752,"048",0,0,"Not Target"
19,1,0.81,0,0.81,0.587865343668537,0,0.587865343668537,0.481336959984946,0,0.481336959984946,"048",0,0,"Not Target"
20,1,0.12,0,0.12,0.491747326322151,0,0.491747326322151,0.464196703296553,0,0.464196703296553,"046",0,0,"Not Target"
21,1,0.22,0,0.22,0.289002129395416,0,0.289002129395416,0.43100114138304,0,0.43100114138304,"043",0,0,"Not Target"
22,1,0.79,0,0.79,0.547086652515431,0,0.547086652515431,0.428877930290391,0,0.428877930290391,"043",0,0,"Not Target"
23,2,0.9,0,0.9,0.462478999330057,0,0.462478999330057,0.434447312207399,0,0.434447312207399,"043",0,0,"Target"
